id,sensorId,Type,coordinates.lat,coordinates.long,altitude,heading,speed,speedmetric,temp,observationTime,date2
1204,1815667,car,28.55281,-16.34724,99.0,318,0,KilometersPerHour,,2018-05-15T11:09:26.0000000Z,2018-05-31 11:09:26
1205,1815608,car,43.35766,-8.44391,105.0,320,45,KilometersPerHour,,2018-05-15T11:09:36.0000000Z,2018-05-31 11:09:36
1206,1815184,truck,41.46144,2.23738,159.0,200,0,KilometersPerHour,,2018-05-15T11:09:18.0000000Z,2018-05-31 11:09:18
1207,2115684,truck,40.31709,-3.67943,648.0,55,0,KilometersPerHour,19.2,2018-05-15T11:08:42.0000000Z,2018-05-31 11:08:42
1208,2115378,truck,39.362556,-0.423361,34.0,92,0,KilometersPerHour,-17.4,2018-05-15T11:09:16.0000000Z,2018-05-31 11:09:16
1209,4215082,truck,36.61213400000001,-6.208381,10.0,126,0,KilometersPerHour,21.8,2018-05-15T11:09:36.0000000Z,2018-05-31 11:09:36
1210,1415112,truck,36.43251,-5.18193,87.0,315,34,KilometersPerHour,,2018-05-15T11:09:37.0000000Z,2018-05-31 11:09:37
1211,1015769,truck,41.46964000000001,1.91173,135.0,348,53,KilometersPerHour,,2018-05-15T11:09:06.0000000Z,2018-05-31 11:09:06
1212,1215141,car,41.48791,2.06412,206.0,80,0,KilometersPerHour,,2018-05-15T11:09:21.0000000Z,2018-05-31 11:09:21
1213,1115209,truck,42.89897,-1.79269,536.0,110,86,KilometersPerHour,,2018-05-15T11:09:37.0000000Z,2018-05-31 11:09:37
1214,121503,truck,48.690027,2.595668,80.0,170,89,KilometersPerHour,,2018-05-15T11:08:37.0000000Z,2018-05-31 11:08:37
1215,2415626,car,39.4892,-0.36904,80.0,0,0,KilometersPerHour,,2018-05-15T11:07:40.0000000Z,2018-05-31 11:07:40
1216,2415651,car,43.23436,-5.88401,476.0,168,0,KilometersPerHour,,2018-05-15T11:09:13.0000000Z,2018-05-31 11:09:13
1217,2415618,car,37.97025,-1.13864,91.0,241,0,KilometersPerHour,,2018-05-15T11:09:37.0000000Z,2018-05-31 11:09:37
1218,3715116,truck,37.262076,-1.91902,136.0,195,0,KilometersPerHour,17.5,2018-05-15T11:08:53.0000000Z,2018-05-31 11:08:53
1219,1015190,truck,37.48415,-5.62308,171.0,311,65,KilometersPerHour,,2018-05-15T11:09:01.0000000Z,2018-05-31 11:09:01
1220,1015191,truck,39.58333,-0.53346,159.0,132,78,KilometersPerHour,,2018-05-15T11:09:30.0000000Z,2018-05-31 11:09:30
1221,1015194,truck,36.50833,-6.268,52.0,167,18,KilometersPerHour,,2018-05-15T11:09:34.0000000Z,2018-05-31 11:09:34
1222,1615312,car,45.04137,4.87405,202.0,225,0,KilometersPerHour,,2018-05-15T11:09:01.0000000Z,2018-05-31 11:09:01
1223,981548,car,38.55165,-0.14247,133.0,243,110,KilometersPerHour,,2018-05-15T11:09:14.0000000Z,2018-05-31 11:09:14
1224,981555,car,38.34801,-0.5546399999999999,106.0,96,39,KilometersPerHour,,2018-05-15T11:09:42.0000000Z,2018-05-31 11:09:42
1225,981575,car,38.3348,-0.50894,64.0,219,32,KilometersPerHour,,2018-05-15T11:09:28.0000000Z,2018-05-31 11:09:28
1226,981567,car,38.58384,-0.06856,68.0,0,0,KilometersPerHour,,2018-05-15T11:09:34.0000000Z,2018-05-31 11:09:34
1227,721564,car,53.77528100000001,-1.7222849999999998,204.0,22,0,KilometersPerHour,,2018-05-15T11:08:49.0000000Z,2018-05-31 11:08:49
1228,1415152,truck,48.55575,2.22262,144.0,27,84,KilometersPerHour,,2018-05-15T11:09:28.0000000Z,2018-05-31 11:09:28
1229,1415169,truck,37.36001,-6.52466,191.0,264,90,KilometersPerHour,,2018-05-15T11:09:24.0000000Z,2018-05-31 11:09:24
1230,1815528,car,37.54757,-1.42307,151.0,42,114,KilometersPerHour,,2018-05-15T11:09:28.0000000Z,2018-05-31 11:09:28
1231,4715544,truck,41.74019000000001,-1.07868,273.0,298,0,KilometersPerHour,,2018-05-15T11:09:07.0000000Z,2018-05-31 11:09:07
1232,4715538,truck,42.45446,-2.4064400000000004,427.0,0,0,KilometersPerHour,,2018-05-15T11:09:30.0000000Z,2018-05-31 11:09:30
1233,4715542,truck,41.64086,-0.9901,387.0,0,0,KilometersPerHour,,2018-05-15T11:09:48.0000000Z,2018-05-31 11:09:48
1234,2415567,car,36.72052,-4.60845,109.0,263,86,KilometersPerHour,,2018-05-15T11:09:04.0000000Z,2018-05-31 11:09:04
1235,1415125,truck,36.85382,-6.04007,107.0,32,21,KilometersPerHour,,2018-05-15T11:08:57.0000000Z,2018-05-31 11:08:57
1236,1415051,truck,37.65856,-6.22889,273.0,149,71,KilometersPerHour,,2018-05-15T11:09:38.0000000Z,2018-05-31 11:09:38
1237,2415588,car,39.58074000000001,2.63445,122.0,129,41,KilometersPerHour,,2018-05-15T11:09:34.0000000Z,2018-05-31 11:09:34
1238,2415523,car,39.61125,-6.40586,327.0,14,120,KilometersPerHour,,2018-05-15T11:09:22.0000000Z,2018-05-31 11:09:22
1239,1815592,car,37.54595,-5.07985,154.0,296,0,KilometersPerHour,,2018-05-15T11:09:25.0000000Z,2018-05-31 11:09:25
1240,811548,truck,40.033776,-0.079873,155.0,48,91,KilometersPerHour,,2018-05-15T11:09:37.0000000Z,2018-05-31 11:09:37
1241,871555,truck,44.965585,8.925489,100.0,42,88,KilometersPerHour,,2018-05-15T11:09:25.0000000Z,2018-05-31 11:09:25
1242,811549,truck,48.127662,1.899834,125.0,24,80,KilometersPerHour,4.8,2018-05-15T11:09:06.0000000Z,2018-05-31 11:09:06
1243,871551,truck,38.344137,-0.526094,65.0,174,0,KilometersPerHour,18.8,2018-05-15T11:09:09.0000000Z,2018-05-31 11:09:09
1244,811551,truck,38.002901,-1.308592,187.0,358,0,KilometersPerHour,19.3,2018-05-15T11:09:11.0000000Z,2018-05-31 11:09:11
1245,811553,car,45.40538,11.021075,52.0,340,0,KilometersPerHour,,2018-05-15T11:09:14.0000000Z,2018-05-31 11:09:14
1246,811573,truck,41.341235,2.144137,9.0,20,36,KilometersPerHour,-12.0,2018-05-15T11:09:07.0000000Z,2018-05-31 11:09:07
1247,1515647,truck,38.019635,-1.165697,-110.0,186,69,KilometersPerHour,13.2,2018-05-15T11:10:50.0000000Z,2018-05-31 11:10:50
1248,1515655,car,41.373701,2.157493,34.0,220,0,KilometersPerHour,9.1,2018-05-15T11:09:06.0000000Z,2018-05-31 11:09:06
1249,891525,car,41.567226,2.2719560000000003,104.0,0,0,KilometersPerHour,,2018-05-15T11:09:33.0000000Z,2018-05-31 11:09:33
1250,891530,car,43.27545300000001,-1.95558,23.0,0,0,KilometersPerHour,,2018-05-15T11:09:11.0000000Z,2018-05-31 11:09:11
